,OCC_CODE,TOT_EMP,A_MEAN
442,29-2055,"5,750","55,310"
443,29-2056,"4,810","43,190"
444,29-2057,**,"34,870"
445,29-2061,"46,500","48,770"
446,29-2071,"10,180","47,420"
447,29-2081,"3,240","54,730"
448,29-2091,570,"79,990"
449,29-2092,90,"52,870"
450,29-2099,"5,280","55,700"
451,29-2099,"5,280","55,700"
452,29-2099,"5,280","55,700"
453,29-2099,"5,280","55,700"
454,29-9011,"3,780","76,020"
455,29-9012,850,"61,850"
456,29-9091,"1,440","49,960"
457,29-9092,160,"86,810"
458,29-9099,870,"74,750"
459,31-1011,"191,820","26,240"
460,31-1013,"5,560","43,520"
461,31-1014,"91,400","37,010"
462,31-1015,"3,240","35,130"
463,31-2011,"2,360","60,890"
464,31-2012,280,"46,600"
465,31-2021,"4,700","52,720"
466,31-2022,"3,090","30,230"
467,31-9011,"4,770","52,830"
468,31-9091,"19,110","39,130"
469,31-9092,"26,080","37,560"
470,31-9093,"3,600","43,450"
471,31-9094,"1,450","42,020"
472,31-9095,"2,050","31,450"
473,31-9096,"4,030","32,320"
474,31-9097,"6,190","40,630"
475,31-9099,"6,360","37,380"
476,31-9099,"6,360","37,380"
477,33-1011,"3,890","90,600"
478,33-1012,"12,650","115,940"
479,33-1021,"4,010","107,730"
480,33-1021,"4,010","107,730"
481,33-2011,"11,880","73,710"
482,33-2011,"11,880","73,710"
483,33-2021,"1,060","66,580"
484,33-2021,"1,060","66,580"
485,33-3011,"4,010","66,990"
486,33-3012,"35,460","64,490"
487,33-3021,"8,880","91,250"
488,33-3021,"8,880","91,250"
489,33-3021,"8,880","91,250"
490,33-3021,"8,880","91,250"
491,33-3021,"8,880","91,250"
492,33-3031,400,"68,000"
493,33-3041,540,"43,230"
494,33-3051,"53,560","74,860"
495,33-3051,"53,560","74,860"
496,33-3052,"1,620","81,300"
497,33-9011,770,"37,990"
498,33-9021,"1,720","61,950"
499,33-9031,240,"34,100"
500,33-9032,"118,760","35,820"
501,33-9091,"9,820","37,220"
502,33-9092,"7,860","27,630"
503,33-9093,"3,760","41,600"
504,33-9099,"23,700","31,410"
505,35-1011,"15,500","56,020"
506,35-1012,"47,640","41,510"
507,35-2011,"9,940","26,210"
508,35-2012,"16,180","34,800"
509,35-2014,"73,340","30,440"
510,35-2015,"8,890","27,580"
511,35-2021,"61,600","28,520"
512,35-3011,"44,370","34,800"
513,35-3021,"189,740","25,470"
514,35-3022,"28,040","25,680"
515,35-3022,"28,040","25,680"
516,35-3031,"167,250","34,460"
517,35-3041,"17,310","32,500"
518,35-9011,"36,300","29,760"
519,35-9021,"32,940","26,410"
520,35-9031,"19,950","28,400"
521,37-1011,"12,080","55,040"
522,37-1012,"5,400","59,460"
523,37-2011,"190,600","35,080"
524,37-2012,"48,460","35,730"
525,37-2021,"3,210","39,960"
526,37-3011,"44,570","34,820"
527,37-3012,610,"42,530"
528,37-3013,"2,030","52,170"
529,39-1021,"21,600","46,170"
530,39-1021,"21,600","46,170"
531,39-2011,"1,330","36,610"
532,39-2021,"13,110","29,780"
533,39-3011,"2,080","34,050"
534,39-3012,580,"29,810"
535,39-3021,140,"43,420"
536,39-3031,"12,510","29,510"
537,39-3091,"17,700","26,360"
538,39-3092,"1,200","68,080"
539,39-3093,"1,660","31,160"
540,39-4011,**,"91,760"
541,39-4021,"1,370","30,910"
542,39-4031,"1,320","68,130"
543,39-5011,**,"29,910"
544,39-5012,"23,650","30,920"
545,39-5091,510,"77,030"
546,39-5092,"24,190","24,970"
547,39-5093,"1,120","23,380"
548,39-5094,"5,330","39,740"
549,39-6011,"3,980","34,130"
550,39-6012,"6,110","44,820"
551,39-9011,"47,260","28,820"
552,39-9011,"47,260","28,820"
553,39-9021,"199,060","27,640"
554,39-9031,"24,160","59,520"
555,39-9032,"27,760","33,150"
556,39-9041,"8,430","35,740"
557,41-1011,"66,620","50,640"
558,41-1012,"22,340","107,430"
559,41-2011,"197,490","25,540"
560,41-2012,"1,050","36,270"
561,41-2021,"20,500","31,650"
562,41-2022,"10,800","38,200"
563,41-2031,"301,670","30,100"
564,41-3011,"20,740","84,310"
565,41-3021,"21,230","84,540"
566,41-3031,"68,120","161,580"
567,41-3031,"68,120","161,580"
568,41-3031,"68,120","161,580"
569,41-3041,"6,000","40,000"
570,41-3099,"70,340","77,680"
571,41-4011,"16,470","104,900"
572,41-4011,"16,470","104,900"
573,41-4012,"76,590","72,820"
574,41-9011,"6,000","37,430"
575,41-9012,290,"34,720"
576,41-9021,"1,550","85,190"
577,41-9022,"4,870","116,460"
578,41-9031,"2,390","111,620"
579,41-9041,"5,450","31,790"
580,41-9091,**,"49,350"
581,43-1011,"112,510","70,770"
582,43-2011,"3,850","38,020"
583,43-2021,840,"48,270"
584,43-3011,"16,090","42,310"
585,43-3021,"34,360","43,840"
586,43-3021,"34,360","43,840"
587,43-3031,"104,580","45,590"
588,43-3041,**,"34,040"
589,43-3051,"8,940","47,960"
590,43-3061,"3,880","44,990"
591,43-3071,"24,920","31,680"
592,43-4011,"5,140","67,730"
593,43-4021,160,"43,140"
594,43-4031,"7,420","56,890"
595,43-4031,"7,420","56,890"
596,43-4031,"7,420","56,890"
597,43-4041,"1,410","48,420"
598,43-4041,"1,410","48,420"
599,43-4051,"159,010","40,830"
600,43-4051,"159,010","40,830"
601,43-4061,"12,090","49,440"
602,43-4071,"7,290","34,170"
603,43-4081,"10,550","33,860"
604,43-4111,"15,100","40,200"
605,43-4121,"6,630","33,900"
606,43-4131,"6,440","45,520"
607,43-4141,"1,220","42,780"
608,43-4151,"5,980","34,490"
609,43-4161,"10,280","45,260"
610,43-4171,"95,740","34,430"
611,43-4181,"8,130","41,280"
612,43-5011,"7,160","45,310"
613,43-5011,"7,160","45,310"
614,43-5021,"9,630","33,620"
615,43-5031,"5,450","47,600"
616,43-5032,"13,520","48,570"
617,43-5041,"1,160","59,670"
618,43-5051,"5,780","51,420"
619,43-5052,"22,400","52,150"
620,43-5053,"8,920","51,390"
621,43-5061,"38,020","50,850"
622,43-5071,"26,870","37,480"
623,43-5081,"110,880","29,220"
624,43-5081,"110,880","29,220"
625,43-5081,"110,880","29,220"
626,43-5081,"110,880","29,220"
627,43-5111,"2,750","34,440"
628,43-6011,"92,120","72,040"
629,43-6012,"15,440","55,920"
630,43-6013,"8,890","40,850"
631,43-6014,"178,520","41,190"
632,43-9011,"3,390","48,280"
633,43-9021,"12,490","37,230"
634,43-9022,"17,150","43,880"
635,43-9031,850,"55,260"
636,43-9041,"9,760","48,740"
637,43-9041,"9,760","48,740"
638,43-9051,"8,990","36,150"
639,43-9061,"189,360","35,410"
640,43-9071,"4,100","36,180"
641,43-9081,"1,530","46,370"
642,43-9111,570,"55,620"
643,43-9111,570,"55,620"
644,45-1011,300,"56,750"
645,45-1011,300,"56,750"
646,45-1011,300,"56,750"
647,45-1011,300,"56,750"
648,45-2011,300,"63,330"
649,45-2021,170,"45,010"
650,45-2041,50,"28,050"
651,45-2091,120,"37,430"
652,45-2092,"3,040","32,720"
653,45-2092,"3,040","32,720"
654,45-2093,550,"33,010"
655,45-4011,140,"39,100"
656,45-4021,50,"63,040"
657,45-4022,430,"40,470"
658,45-4023,70,"40,060"
659,47-1011,"28,370","85,990"
660,47-1011,"28,370","85,990"
661,47-2011,440,"69,820"
662,47-2021,"5,600","77,540"
663,47-2022,"1,020","41,560"
664,47-2031,"50,200","62,880"
665,47-2031,"50,200","62,880"
666,47-2041,"1,070","49,860"
667,47-2042,820,"51,220"
668,47-2043,**,"45,950"
669,47-2044,"2,330","56,500"
670,47-2051,"6,800","72,610"
671,47-2053,70,"81,630"
672,47-2061,"63,020","51,720"
673,47-2071,"1,800","59,100"
674,47-2072,80,*
675,47-2073,"13,160","81,930"
676,47-2081,"5,490","49,600"
677,47-2082,710,"63,490"
678,47-2111,"42,450","77,810"
679,47-2121,"2,970","61,680"
680,47-2131,980,"38,690"
681,47-2132,830,"80,240"
682,47-2141,"14,300","49,980"
683,47-2142,**,"45,650"
684,47-2151,860,"58,260"
685,47-2152,"29,120","73,820"
686,47-2152,"29,120","73,820"
687,47-2161,"1,100",*
688,47-2171,"1,180","74,600"
689,47-2181,"4,910","65,520"
690,47-2211,"7,350","70,070"
691,47-2221,"5,940","85,410"
692,47-2231,770,"48,630"
693,47-3011,"1,460","45,960"
694,47-3012,"1,240","32,050"
695,47-3013,"4,310","39,470"
696,47-3014,410,"41,080"
697,47-3015,"3,520","37,960"
698,47-3016,190,"30,410"
699,47-4011,"8,340","66,160"
700,47-4021,"4,640","83,110"
701,47-4031,650,"39,190"
702,47-4041,"4,460","61,780"
703,47-4051,"14,920","45,880"
704,47-4061,"2,960","69,080"
705,47-4071,"1,560","42,090"
706,47-5012,**,"53,120"
707,47-5021,540,"66,980"
708,47-5031,110,"72,090"
709,47-5041,80,"45,740"
710,47-5042,110,"39,720"
711,47-5051,110,"34,590"
712,47-5081,50,"43,670"
713,49-1011,"26,140","78,130"
714,49-2011,"6,590","45,210"
715,49-2021,630,"60,380"
716,49-2021,630,"60,380"
717,49-2022,"10,520","69,980"
718,49-2091,40,"67,550"
719,49-2092,420,"46,890"
720,49-2093,510,"64,470"
721,49-2094,"1,510","58,290"
722,49-2095,"2,590","83,420"
723,49-2096,720,"37,280"
724,49-2097,"2,020","43,370"
725,49-2098,"4,890","54,410"
726,49-3011,"3,070","67,840"
727,49-3021,"6,710","46,460"
728,49-3022,"1,060","34,020"
729,49-3023,"34,370","44,350"
730,49-3023,"34,370","44,350"
731,49-3031,"12,840","55,340"
732,49-3041,540,"41,150"
733,49-3042,"2,830","58,700"
734,49-3043,"1,660","71,250"
735,49-3051,"1,210","41,360"
736,49-3052,570,"39,350"
737,49-3053,"1,540","41,630"
738,49-3091,480,"31,600"
